,Customer ID,Gender,Age,Married,Dependents,Senior Citizen,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Avg Monthly GB Download,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Churn
55,3629-WEAAM,0,19,0,0,0,8,1,0,1,73,0,1,1,0,0,64.1,504.05,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
56,2931-XIQBR,0,41,1,1,0,50,1,0,1,27,1,1,1,1,0,103.05,5153.5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
57,7319-ZNRTR,1,43,1,1,0,25,1,0,0,0,0,0,0,0,0,19.6,411.15,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
58,5716-LIBJC,0,29,0,1,0,13,1,1,1,27,1,1,1,1,1,104.15,1299.1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
59,3088-FVYWK,1,37,1,1,0,53,1,1,0,0,0,0,0,0,0,25.55,1336.1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
60,2405-LBMUW,0,25,1,1,0,61,0,0,1,59,0,1,1,0,1,50.7,3088.75,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
61,3569-VLDHH,1,59,1,1,0,66,1,0,1,76,1,0,0,1,1,75.1,5013.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
62,1591-XWLGB,0,44,1,0,0,71,1,0,0,0,0,0,0,0,0,19.85,1379.6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
63,4061-UKJWL,1,35,0,0,0,3,1,0,1,17,0,0,0,1,0,45.45,141.7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
64,7634-HLQJR,0,52,1,1,0,47,1,0,0,0,0,0,0,0,0,20.05,1016.7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
65,1051-EQPZR,0,21,1,1,0,44,1,0,0,0,0,0,0,0,0,19.6,780.25,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
66,2080-GKCWQ,1,54,0,0,0,2,1,0,1,16,0,0,0,1,0,74.95,151.75,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
67,5296-BFCYD,1,35,1,1,0,46,1,0,0,0,0,0,0,0,1,20.1,936.85,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
68,6979-TNDEU,0,42,0,0,0,8,1,0,0,0,0,0,0,0,0,19.2,156.85,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
69,3996-ZNWYK,1,77,1,1,1,71,1,0,0,0,0,0,0,0,0,19.8,1388.45,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
70,3511-APPBJ,1,21,0,0,0,23,1,0,1,30,1,1,1,1,1,99.95,2292.75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
71,9298-WGMRW,0,26,1,0,0,72,1,1,1,76,1,1,1,1,1,115.5,8312.75,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
72,3750-RNQKR,0,38,0,0,0,12,1,0,0,0,0,0,0,0,0,19.45,246.25,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
73,0281-CNTZX,1,56,1,0,0,63,1,0,0,0,0,0,0,0,1,19.95,1234.8,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
74,8387-UGUSU,0,57,1,1,0,15,1,0,0,0,0,0,0,0,0,20.05,284.3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
75,6942-LBFDP,0,30,0,0,0,2,1,0,0,0,0,0,0,0,1,20.55,33.6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
76,5709-LVOEQ,0,40,1,0,0,10,1,0,1,5,1,1,1,1,0,80.85,808.5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
77,8879-XUAHX,1,42,1,0,0,71,1,1,1,9,1,1,1,1,1,116.25,8564.75,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
78,4231-LZUYM,0,37,1,0,0,72,1,1,0,0,0,0,0,0,0,25.65,1887.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
79,6681-ZSEXG,1,34,1,0,0,56,1,1,1,17,0,0,0,1,0,59.5,3389.25,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
80,4111-BNXIF,0,19,1,0,0,67,0,0,1,52,1,1,1,1,1,59.55,4103.9,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
81,6349-JDHQP,0,62,0,0,0,53,1,0,0,0,0,0,0,0,0,19.85,1049.6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
82,3898-BSJYF,0,23,0,1,0,10,1,1,1,26,0,1,1,1,0,73.55,693.3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
83,8751-EDEKA,0,56,1,0,0,28,1,0,1,19,0,1,1,1,0,89.9,2433.5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
84,1032-MAELW,0,57,1,1,0,68,1,1,1,29,0,1,1,1,1,78.45,5333.35,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
85,5055-BRMNE,0,35,1,1,0,67,1,1,1,16,1,1,1,1,0,106.7,7009.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
86,2615-YVMYX,1,68,1,0,1,71,1,1,1,19,1,1,0,0,1,107.5,7713.55,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
87,7409-JURKQ,0,29,1,0,0,53,1,1,1,69,1,1,1,1,1,111.8,5809.75,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
88,0608-JDVEC,1,55,1,0,0,50,1,0,0,0,0,0,0,0,0,19.8,1013.2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
89,5934-TSSAU,0,51,1,1,0,23,1,0,1,75,0,0,0,1,1,75.3,1702.9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
90,0489-WMEMG,0,61,0,1,0,23,1,0,1,53,0,0,0,1,1,49.45,1119.35,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
91,0825-CPPQH,0,26,1,0,0,71,1,0,0,0,0,0,0,0,0,19.1,1372.45,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
92,5989-AXPUC,0,27,1,0,0,68,1,1,1,27,1,1,1,1,0,118.6,7990.05,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
93,7017-VFULY,0,38,1,0,0,2,1,0,0,0,0,0,0,0,0,20.1,43.15,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
94,7924-GJZFI,0,75,1,0,1,25,1,0,1,24,0,0,0,1,1,69.3,1813.1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
95,7269-JISCY,0,48,0,0,0,55,1,0,1,5,0,0,0,1,0,45.05,2462.6,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
96,6029-CSMJE,1,63,0,0,0,17,0,0,1,11,0,0,0,1,1,25.65,440.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
97,0093-EXYQL,0,72,0,0,1,40,1,0,1,23,1,1,0,1,1,91.55,3673.6,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
98,8065-QBYTO,0,68,0,0,1,71,1,1,1,12,1,0,0,1,1,99.65,7181.25,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
99,0523-VNGTF,0,78,0,0,1,52,0,0,1,23,1,0,0,1,1,50.5,2566.3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
100,3638-VBZTA,1,62,0,0,0,68,1,1,1,29,1,1,1,1,1,86.5,5882.75,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
101,0013-SMEOE,0,67,1,0,1,71,1,0,1,14,1,1,1,1,1,109.7,7904.25,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
102,5930-GBIWP,1,46,0,0,0,69,1,1,1,26,0,1,1,1,1,81.5,5553.25,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
103,7101-HRBLJ,0,25,1,0,0,72,1,0,1,46,1,1,1,1,1,83.7,6096.9,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
104,6341-JVQGF,0,26,1,0,0,31,1,0,1,41,1,1,1,1,1,81.15,2545.75,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
105,9777-WJJPR,1,46,1,0,0,31,1,1,1,12,1,0,0,1,0,88.65,2683.2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
106,2706-QZIHY,0,35,1,0,0,15,1,1,0,0,0,0,0,0,0,25.2,387.9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
107,5456-ITGIC,1,76,1,0,1,72,0,0,1,9,1,1,1,1,1,64.45,4641.1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
108,6078-VESFR,1,78,1,0,1,13,1,0,1,26,0,0,0,1,0,70.45,849.1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
109,2235-DWLJU,0,75,0,0,1,6,0,0,1,24,1,1,1,1,1,44.4,263.05,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
110,7855-DIWPO,0,60,0,0,0,21,1,0,1,11,0,0,0,1,1,68.65,1493.2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
111,4827-USJHP,1,45,0,0,0,20,1,0,1,18,0,0,0,1,1,51.8,1023.85,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
112,2123-AGEEN,0,66,0,0,1,7,1,0,1,20,1,0,0,0,1,84.35,609.65,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
113,2637-FKFSY,0,61,1,0,0,3,1,0,1,7,0,0,0,1,1,46.1,130.15,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
114,0168-XZKBB,0,34,1,0,0,19,1,1,1,16,1,0,0,1,1,86.85,1564.4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
115,3253-HKOKL,0,31,1,1,0,52,1,0,1,19,1,1,1,1,0,100.3,5244.45,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
116,3951-NJCVI,0,76,1,0,1,42,1,1,1,10,1,1,0,0,1,95.05,3944.5,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
117,5380-XPJNZ,0,22,0,0,0,38,1,0,0,0,0,0,0,0,0,20.05,678.2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
118,6286-SUUWT,1,44,0,0,0,1,1,0,0,0,0,0,0,0,0,19.95,19.95,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
119,5336-UFNZP,0,65,1,1,1,65,1,1,1,26,1,1,1,1,1,107.45,7047.5,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
120,3756-VNWDH,1,66,1,0,1,65,1,1,1,8,1,1,0,1,1,100.75,6674.65,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
121,4098-NAUKP,1,70,1,1,1,68,1,1,1,13,0,0,0,1,1,84.65,5683.6,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
122,2091-GPPIQ,0,56,1,0,0,72,1,1,1,6,1,1,1,1,1,78.95,5730.15,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
123,9214-EKVXR,0,51,0,0,0,1,1,0,1,26,0,0,0,1,1,44.0,44.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
124,1679-JRFBR,0,27,1,0,0,70,1,1,1,48,1,1,1,1,1,108.15,7930.55,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
125,6922-NCEDI,1,38,0,0,0,56,1,0,0,0,0,0,0,0,1,21.2,1238.65,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
126,7410-OIEDU,1,29,0,0,0,10,1,0,1,42,0,0,0,1,1,79.85,887.35,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
127,3059-NGMXB,1,52,1,1,0,14,1,1,1,76,0,1,1,1,0,69.2,944.65,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
128,2050-ONYDQ,0,48,1,1,0,65,1,1,0,0,0,0,0,0,0,26.0,1654.85,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
129,9633-DENPU,0,53,1,0,0,47,1,0,1,18,1,0,0,1,1,58.6,2723.4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
130,3067-SVMTC,0,49,1,0,0,68,1,0,1,14,0,0,0,0,0,55.9,3848.8,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
131,4671-VJLCL,0,36,0,0,0,63,1,1,1,17,1,0,0,1,1,79.85,4861.45,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
132,2604-XVDAM,0,54,0,0,0,12,1,0,1,17,0,0,0,1,0,43.8,540.95,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
133,2809-ILCYT,0,56,1,0,0,25,1,1,0,0,0,0,0,0,1,26.8,733.55,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
134,5788-YPOEG,0,41,1,1,0,34,1,0,1,16,1,1,1,1,0,84.75,2839.45,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
135,2890-WFBHU,0,26,0,0,0,59,1,1,1,73,0,1,1,1,0,79.85,4786.1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
136,6650-BWFRT,0,43,1,0,0,72,1,1,1,5,1,1,1,1,1,117.15,8529.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
137,3284-SVCRO,0,35,1,0,0,45,1,1,0,0,0,0,0,0,0,25.5,1121.05,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
138,1518-OMDIK,1,23,1,0,0,33,1,0,1,51,0,0,0,1,1,44.55,1462.6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
139,1095-WGNGG,0,35,1,0,0,61,1,1,1,21,1,1,1,1,1,101.05,5971.25,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
140,8663-UPDGF,0,54,0,0,0,26,1,1,1,10,1,0,0,1,1,69.5,1800.05,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
141,5445-GLVOT,0,64,0,0,0,22,1,0,1,11,0,0,0,1,1,49.8,1049.05,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
142,7321-KKSDU,1,38,0,1,0,32,1,0,0,0,0,0,0,0,0,20.5,696.8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
143,5003-OKNNK,0,44,1,1,0,15,1,0,0,0,0,0,0,0,0,20.35,335.95,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
144,0164-APGRB,0,56,0,0,0,72,1,1,1,5,1,1,1,1,1,114.9,8496.7,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
145,7905-TVXTA,0,63,0,0,0,5,1,0,1,22,1,0,0,1,1,64.35,352.65,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
146,0856-NAOES,1,29,0,0,0,6,1,0,1,71,1,0,0,1,0,60.9,414.1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
147,0345-XMMUG,0,29,1,0,0,46,1,1,1,48,1,1,1,1,1,108.9,4854.3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
148,4072-IPYLT,0,32,1,1,0,36,1,0,1,19,0,0,0,1,0,51.05,1815.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
149,0868-VJRDR,1,61,1,0,0,64,1,0,1,8,1,1,1,1,1,104.05,6605.55,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
150,9644-UMGQA,1,48,1,1,0,6,1,0,1,51,0,0,0,1,1,49.15,295.65,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
151,2654-VBVPB,0,22,0,0,0,1,1,0,0,0,0,0,0,0,0,19.9,19.9,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
152,4547-FZJWE,1,24,1,0,0,55,1,0,1,69,0,1,1,0,0,59.45,3157.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
153,7061-OVMIM,0,57,1,0,0,30,1,0,0,0,0,0,0,0,0,19.55,608.5,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
154,1355-KUSBG,0,56,1,1,0,7,1,1,1,28,0,0,0,1,0,48.8,349.8,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
155,8205-MQUGY,1,39,1,1,0,12,1,0,1,57,0,0,0,0,1,49.2,571.15,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
156,5309-TAIKL,0,42,0,0,0,7,1,0,1,21,0,1,1,1,0,62.8,418.3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
157,9842-EFSYY,0,31,0,1,0,4,0,0,1,52,1,1,1,1,1,57.2,223.75,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
158,5917-RYRMG,1,79,0,0,1,32,1,0,0,0,0,0,0,0,0,19.8,587.7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
159,6339-TBELP,1,53,0,0,0,71,1,1,1,15,0,0,0,1,1,86.4,6172.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
